Author,Year,User Rating,Reviews,Name,Price,Genre
James Patterson,2018,4.3,10191,The President Is Missing: A Novel,18.0,Fiction
Jay Asher,2017,4.5,7932,Thirteen Reasons Why,9.0,Fiction
Jaycee Dugard,2011,4.6,4149,A Stolen Life: A Memoir,32.0,Non Fiction
Jeff Kinney,2009,4.8,3181,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",12.0,Fiction
Jeff Kinney,2009,4.8,3837,Diary of a Wimpy Kid: The Last Straw (Book 3),15.0,Fiction
Jeff Kinney,2010,4.8,3796,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",12.0,Fiction
Jeff Kinney,2012,4.7,6377,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",7.0,Fiction
Jeff Kinney,2014,4.8,6540,Diary of a Wimpy Kid: The Long Haul,22.0,Fiction
Jeff Kinney,2015,4.8,6169,Old School (Diary of a Wimpy Kid #10),7.0,Fiction
Jeff Kinney,2016,4.8,5118,Double Down (Diary of a Wimpy Kid #11),20.0,Fiction
Jeff Kinney,2018,4.8,5898,The Meltdown (Diary of a Wimpy Kid Book 13),8.0,Fiction
Jeff Kinney,2019,4.9,9413,Wrecking Ball (Diary of a Wimpy Kid Book 14),8.0,Fiction
Jen Sincero,2016,4.7,14331,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,8.0,Non Fiction
Jen Sincero,2017,4.7,14331,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,8.0,Non Fiction
Jen Sincero,2018,4.7,14331,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,8.0,Non Fiction
Jen Sincero,2019,4.7,14331,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,8.0,Non Fiction
